,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
36,36,0.7339397487147373,0.8091211318969727,2021-06-15 17:18:51.919826,2021-06-15 17:19:14.240215,0 days 00:00:22.320389,3.234109983935337,0.0004987733106400313,9.426325395790723,0.0017790191028016628,3.304169769482632,1,9.757792095630315,471,0.6944894096177099,COMPLETE,Random
37,37,0.8597373920440174,0.9459939002990723,2021-06-15 17:19:14.241057,2021-06-15 17:20:22.760160,0 days 00:01:08.519103,1.963061085689517,1.5131713065121453,6.009682994110355,0.016341057981026447,5.928521149174479,16,4.397074136470013,366,0.9472070247242435,COMPLETE,Random
38,38,0.7983775764473957,0.8497309684753418,2021-06-15 17:20:22.761030,2021-06-15 17:21:07.680210,0 days 00:00:44.919180,7.082175681931842,4.115434656663482,0.8272084376906463,0.001892825434687167,0.9786689773985124,10,4.095190744387447,361,0.6333623961533539,COMPLETE,Random
39,39,0.8598890384984623,0.8905999660491943,2021-06-15 17:21:07.681053,2021-06-15 17:21:34.861499,0 days 00:00:27.180446,4.611376268885964,0.24187755088125606,3.2728594162617854,0.09063822754125749,0.6428969564323705,11,7.234928391540123,258,0.5835484744369732,COMPLETE,Random
40,40,0.8123690063068413,0.5693161487579346,2021-06-15 17:21:34.862440,2021-06-15 17:21:40.983270,0 days 00:00:06.120830,8.118282689065532,0.01903806607403643,9.344844711394357,0.1846966700667597,8.269118160111535,2,6.471306213068878,61,0.8685307446996455,COMPLETE,Random
41,41,0.8815450796087009,0.9338850975036621,2021-06-15 17:21:40.984158,2021-06-15 17:22:23.505662,0 days 00:00:42.521504,1.0236800961133574,0.000171180810172315,2.099543862820191,0.04908710154295646,3.878753385901925,12,3.1929739224056446,218,0.7773079756763781,COMPLETE,Random
42,42,0.8391227117449156,0.9160809516906738,2021-06-15 17:22:23.506532,2021-06-15 17:22:33.147240,0 days 00:00:09.640708,2.919117862720204,0.52028319189963,8.084444858349443,0.6404177217079633,1.418080244365365,3,8.570779780008955,245,0.23728810348288276,COMPLETE,Random
43,43,0.8093453382847373,0.8498430252075195,2021-06-15 17:22:33.148399,2021-06-15 17:23:09.565431,0 days 00:00:36.417032,1.429958243880055,0.0014970121246247233,0.37684595525335096,0.000517025167365103,8.688322830828481,11,6.994903797609123,143,0.9768137000337507,COMPLETE,Random
44,44,0.7527086321984675,0.4823427200317383,2021-06-15 17:23:09.566332,2021-06-15 17:23:10.792963,0 days 00:00:01.226631,1.2175356054761743,7.941160614302815e-06,9.720600893817759,5.453696300419388e-06,4.05888416354223,11,2.7469963121379304,6,0.2107656067936593,COMPLETE,Random
45,45,0.7954060406325694,1.0148799419403076,2021-06-15 17:23:10.793814,2021-06-15 17:23:42.519546,0 days 00:00:31.725732,7.174665167061755,4.446704131033987,9.380322064473573,2.1583925986142043e-05,1.47319942244308,3,2.891519441088224,392,0.3451898405768541,COMPLETE,Random
46,46,0.782542241148808,0.6586718559265137,2021-06-15 17:23:42.520472,2021-06-15 17:23:48.552905,0 days 00:00:06.032433,4.099457469049116,6.4704618993578326e-06,8.977499895477242,0.001212944499812508,9.362999638777254,16,6.571057649455286,36,0.6834340549414759,COMPLETE,Random
47,47,0.867107718868542,1.189471960067749,2021-06-15 17:23:48.553852,2021-06-15 17:24:21.544551,0 days 00:00:32.990699,4.001388194977706,8.453732496083434e-05,2.1363705910701345,0.09968725820257539,8.492372062988064,14,3.9477303185615247,437,0.29315021253579227,COMPLETE,Random
48,48,0.8044714655668975,0.5175197124481201,2021-06-15 17:24:21.545426,2021-06-15 17:24:24.625355,0 days 00:00:03.079929,7.9228795698001875,0.01307510940747416,3.4923283891030743,0.13202021954819518,3.8096396225126106,1,5.219702674985636,63,0.45061852724729196,COMPLETE,Random
49,49,0.8450558310596581,1.0595107078552246,2021-06-15 17:24:24.626214,2021-06-15 17:25:05.652090,0 days 00:00:41.025876,7.430947249882516,0.17979504210540664,0.8890780883137384,0.05737396186600747,0.3421041507688116,8,2.754106192280669,484,0.3319963729017533,COMPLETE,Random
50,50,0.7785890451386748,0.6288127899169922,2021-06-15 17:39:56.758095,2021-06-15 17:40:12.538614,0 days 00:00:15.780519,1.65329820644468,5.4806728530335895e-05,1.1648527323500202,0.0020429065928997806,6.577873572058131,20,8.175506362707784,181,0.3831774573132849,COMPLETE,Random
51,51,0.8416915543351527,0.6897947788238525,2021-06-15 17:40:12.539399,2021-06-15 17:40:39.277961,0 days 00:00:26.738562,3.360532535874751,6.537888970093867,2.8071539487969375,0.07280113984613719,0.8800322761438173,8,3.0069837122021554,284,0.3455827551636723,COMPLETE,Random
52,52,0.8146325506363777,0.5699880123138428,2021-06-15 17:40:39.278796,2021-06-15 17:40:48.922933,0 days 00:00:09.644137,8.69934640340896,0.0101240862926544,0.5682054824046645,0.028727825318462394,2.9073142571729162,8,6.469326462148381,91,0.46719544013909353,COMPLETE,Random
53,53,0.7782459016571232,0.8178212642669678,2021-06-15 17:40:48.923808,2021-06-15 17:41:26.644894,0 days 00:00:37.721086,3.7728536334181806,0.02267119406636934,0.5789487424566042,2.8838024634273493e-06,1.0316635949234532,7,7.370078023715097,324,0.6093499322303974,COMPLETE,Random
54,54,0.8597373920440174,1.01548433303833,2021-06-15 17:41:26.645759,2021-06-15 17:41:48.079599,0 days 00:00:21.433840,0.649798138464428,0.06683158194769445,2.2333237647549042,0.49046521204568627,4.273914088458994,6,4.612937965947096,476,0.25097859403398887,COMPLETE,Random
55,55,0.7792513994982307,0.6752052307128906,2021-06-15 17:41:48.080443,2021-06-15 17:42:01.517871,0 days 00:00:13.437428,9.9109585077624,2.924059092496798e-06,5.825264318846446,0.0054902890192366815,0.22930169884945673,7,5.887293853386208,238,0.24980138997283766,COMPLETE,Random
56,56,0.7873481692262659,0.6359860897064209,2021-06-15 17:42:01.518683,2021-06-15 17:42:14.478877,0 days 00:00:12.960194,6.774628011145458,0.2817376889138412,7.097022383935826,0.006062756585401468,5.561284273773703,12,4.776342309886532,150,0.3590670042389703,COMPLETE,Random
57,57,0.8237956366480645,0.5769269466400146,2021-06-15 17:42:14.479742,2021-06-15 17:42:24.411729,0 days 00:00:09.931987,0.9944817814035689,0.06280713059499533,2.9536943917854375,1.973101680148734e-06,8.950347832518851,19,1.1382250763398836,62,0.5490373260189982,COMPLETE,Random
58,58,0.8382329973882237,0.7357831001281738,2021-06-15 17:42:24.412958,2021-06-15 17:42:47.829666,0 days 00:00:23.416708,8.550556205501755,0.00019492220820208317,8.616385141191165,0.061452960725977245,1.783403555322638,13,6.9770724508368245,165,0.7323430857665274,COMPLETE,Random
59,59,0.7384869758993279,0.5536231994628906,2021-06-15 17:42:47.830597,2021-06-15 17:42:50.821102,0 days 00:00:02.990505,3.9780150855834084,2.5635870407285215e-06,5.609738774702155,0.003252516034054928,7.180853972375164,1,4.778864384089693,41,0.9045916889150916,COMPLETE,Random
60,60,0.8678927192547985,1.0772311687469482,2021-06-15 17:42:50.822169,2021-06-15 17:43:43.953284,0 days 00:00:53.131115,1.9564472163076119,0.06654687500743671,0.6775752118837786,0.02921585503084764,5.0205694995750525,10,9.902913812423119,302,0.8344529560255969,COMPLETE,Random
