,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
71,71,0.7963704149207403,0.4616119861602783,2021-06-15 17:34:50.599859,2021-06-15 17:34:51.856710,0 days 00:00:01.256851,7.314051006684539,0.04770503758143372,3.89198718564628,0.631307937779531,5.985234282152566,20,3.3191776893575695,4,0.5291728644597808,COMPLETE,MOTPE
72,72,0.8450115175413648,0.5909571647644043,2021-06-15 17:34:51.857565,2021-06-15 17:34:58.260349,0 days 00:00:06.402784,6.4619304496275065,0.002179875384696191,3.556776354573326,0.9946234510319609,5.748782118583919,20,3.3444017469246154,43,0.5618093869971931,COMPLETE,MOTPE
73,73,0.82044860200332,0.495009183883667,2021-06-15 17:34:58.261263,2021-06-15 17:35:01.293079,0 days 00:00:03.031816,6.7156035467291355,0.07612887215744517,3.130162845433498,0.15165779711208252,4.696867200255438,20,3.189636658982116,17,0.6271673584488557,COMPLETE,MOTPE
74,74,0.8524829277583033,0.5983579158782959,2021-06-15 17:35:01.293946,2021-06-15 17:35:09.554227,0 days 00:00:08.260281,5.712080644789503,0.17492332527333174,3.0771431741456685,0.9769216428148432,5.210924460132974,19,3.5376277585197053,63,0.5750397161344516,COMPLETE,MOTPE
75,75,0.8563952040885973,0.5462636947631836,2021-06-15 17:35:09.555089,2021-06-15 17:35:14.294583,0 days 00:00:04.739494,5.28564073793554,0.015556359798541792,4.464351217524103,0.5703835983702104,5.5202650518307435,20,3.765554182577569,33,0.5211459492636961,COMPLETE,MOTPE
76,76,0.8638290018991188,0.5380480289459229,2021-06-15 17:35:14.295425,2021-06-15 17:35:19.942929,0 days 00:00:05.647504,7.060759719524997,0.004646386710688791,2.4683931175321785,0.29117831926753557,5.521283483320736,19,2.5599174635434294,37,0.518005698806108,COMPLETE,MOTPE
77,77,0.7643072456456818,0.4531421661376953,2021-06-15 17:35:19.943772,2021-06-15 17:35:20.949456,0 days 00:00:01.005684,6.190851477577272,0.005165988273493557,2.42298363160799,0.03313033517973722,5.957223158862804,19,2.659617459434469,2,0.33415387373153244,COMPLETE,MOTPE
78,78,0.8093582759079055,0.4863407611846924,2021-06-15 17:35:20.950303,2021-06-15 17:35:23.104320,0 days 00:00:02.154017,7.020992282533931,0.0023557397835564093,3.2182097656375603,0.17017803026192405,4.220053984602308,20,2.1196735649280853,14,0.4165879525331604,COMPLETE,MOTPE
79,79,0.8598210867182485,0.5341260433197021,2021-06-15 17:35:23.105303,2021-06-15 17:35:28.663955,0 days 00:00:05.558652,6.6306053585259,0.010412413186558705,2.1311174090370884,0.281149097853803,6.803592144940162,19,3.552012560746205,41,0.4854441466408941,COMPLETE,MOTPE
80,80,0.8561885453675001,0.5173201560974121,2021-06-15 17:35:28.664800,2021-06-15 17:35:33.693606,0 days 00:00:05.028806,6.586411607888459,0.009790204661616992,2.259322500379196,0.31115322166232556,9.524930503309353,19,3.1119435417389907,36,0.4786870990994535,COMPLETE,MOTPE
81,81,0.8604343211674389,0.5653707981109619,2021-06-15 17:35:33.694481,2021-06-15 17:35:39.858630,0 days 00:00:06.164149,7.609758054464649,0.009664029444319669,2.189416187527524,0.28899880744611955,9.495374645577368,19,3.0911478672756165,43,0.48161186262063005,COMPLETE,MOTPE
82,82,0.7936362021752406,0.5114791393280029,2021-06-15 17:35:39.859508,2021-06-15 17:35:44.174059,0 days 00:00:04.314551,7.209969528094131,0.018447304986904767,2.510405370656721,0.001793764916548724,8.688064478347552,18,2.8702676097871724,25,0.6135690612351378,COMPLETE,MOTPE
83,83,0.8526703581283827,0.5775721073150635,2021-06-15 17:35:44.174937,2021-06-15 17:35:50.871949,0 days 00:00:06.697012,6.713565221874768,0.0479162964226794,2.9144469071786294,0.9893238821872266,6.8116518905787835,19,3.650372288721869,52,0.5529858154770265,COMPLETE,MOTPE
84,84,0.7880121802660074,0.5745439529418945,2021-06-15 17:35:50.872832,2021-06-15 17:36:01.254481,0 days 00:00:10.381649,6.592568790847917,3.6804236575180127,2.788454822823359,0.0008041199615455657,6.21366250013045,18,4.192421565072042,82,0.5188387131824637,COMPLETE,MOTPE
85,85,0.8386334959401214,0.5424890518188477,2021-06-15 17:36:01.255381,2021-06-15 17:36:06.905099,0 days 00:00:05.649718,7.009369110796807,0.0052163975361996014,1.7891528953657247,0.08708268583550523,4.819253129771501,20,2.3725566450745132,35,0.6776755998644621,COMPLETE,MOTPE
86,86,0.8093453382847373,0.497464656829834,2021-06-15 17:36:06.906084,2021-06-15 17:36:09.663243,0 days 00:00:02.757159,8.44060711455022,0.04201132353585158,2.137472482190484,0.05028144623165389,7.572492842168954,19,2.5702691359275054,13,0.6459885195695607,COMPLETE,MOTPE
87,87,0.8217087808640071,0.5387828350067139,2021-06-15 17:36:09.664122,2021-06-15 17:36:16.303041,0 days 00:00:06.638919,5.136264568288697,0.6679283039606206,2.440540068233036,0.009705332434625576,7.149768376857461,18,3.126658990643049,42,0.603653246128274,COMPLETE,MOTPE
88,88,0.8013924923471101,0.5067839622497559,2021-06-15 17:36:16.303936,2021-06-15 17:36:20.149148,0 days 00:00:03.845212,6.207391972737748,0.010955036419302762,3.2978839164708234,0.0003433895721718809,5.49362073756884,20,2.7949458070126734,28,0.46362101004482764,COMPLETE,MOTPE
89,89,0.8192234512125118,0.45629215240478516,2021-06-15 17:36:20.150138,2021-06-15 17:36:21.309074,0 days 00:00:01.158936,7.634989081045401,0.0029173600009629198,4.328390280957661,2.076445954792243e-06,9.460601052062461,11,2.1696934488671538,3,0.4995204172617905,COMPLETE,MOTPE
90,90,0.8487720646202044,0.6718342304229736,2021-06-15 17:36:21.309954,2021-06-15 17:36:32.682118,0 days 00:00:11.372164,7.525648093528402,8.329597963936753e-06,2.6441499842910217,0.433421761656842,4.500454414344125,9,1.229609988806679,61,0.5532233613696793,COMPLETE,MOTPE
91,91,0.8707738449227084,0.6538989543914795,2021-06-15 17:36:32.683006,2021-06-15 17:36:41.281924,0 days 00:00:08.598918,7.250747552033061,0.02117703943186643,1.6829754075819832,0.7661378078626115,5.621684107898371,19,1.5986577320202429,47,0.5753892171254698,COMPLETE,MOTPE
